,Name,Latitude,Longitude,500m,1km,2km,3km,4km,5km
0,강남 MICE 관광특구,37.511,127.06007,29,59,355,854,1882,2880
1,4·19 카페거리,37.645275,127.007675,11,32,112,163,251,647
2,DDP(동대문디자인플라자),37.56699,127.01029,15,78,357,927,1375,2068
3,DMC(디지털미디어시티),37.579277,126.89179,202,279,588,945,1561,2310
4,가락시장,37.49347,127.11189,52,119,464,1110,1456,1636
5,가로수길,37.52139,127.023575,33,84,289,859,1593,2784
6,가산디지털단지역,37.48089,126.880104,14,79,260,546,926,1285
7,강남역,37.498856,127.02814,63,141,452,961,1481,2031
8,강서한강공원,37.586514,126.81855,15,52,204,495,774,1177
9,건대입구역,37.539967,127.0682,133,219,723,1218,2167,3351
10,고덕역,37.553455,127.15487,0,0,0,0,36,191
11,고속터미널역,37.504814,127.00585,8,72,330,643,1564,2259
12,고척돔,37.497673,126.86702,41,115,406,835,1166,1720
13,광나루한강공원,37.55399,127.12982,0,0,17,138,435,1215
14,광장(전통)시장,37.570004,126.9999,2,119,212,515,1333,1909
15,광화문·덕수궁,37.57168,126.97719,1,3,80,374,946,1728
16,광화문광장,37.57341,126.97692,1,2,74,320,896,1658
17,교대역,37.492203,127.01396,27,72,488,818,1360,1911
18,구로디지털단지역,37.48388,126.89618,38,99,325,599,906,1519
19,구로역,37.50235,126.88212,32,132,397,839,1299,1783
20,국립중앙박물관·용산가족공원,37.522766,126.98143,12,53,399,937,1527,2354
21,군자역,37.556316,127.08019,84,201,650,1294,1933,2638
22,김포공항,37.56227,126.8026,3,105,264,535,930,1406
23,낙산공원·이화마을,37.5803,127.00717,2,27,94,506,988,1537
24,난지한강공원,37.5665,126.87733,9,29,446,1197,1847,2660
25,남구로역,37.48526,126.8873,57,162,329,637,994,1438
26,남대문시장,37.559914,126.97852,13,52,317,666,1278,1901
27,남산공원,37.55158,126.99376,0,16,419,945,1516,2323
28,노들섬,37.51756,126.958664,0,74,362,765,1484,2232
29,노량진,37.513893,126.94405,64,110,387,691,1185,2129
30,대림역,37.49267,126.895546,29,117,397,712,1199,1582
31,덕수궁길·정동길,37.56635,126.97179,0,18,154,510,1087,1755
32,홍대 관광특구,37.553917,126.92127,38,99,371,709,1514,2232
33,동대문역,37.57148,127.00965,23,69,261,838,1223,1947
34,뚝섬역,37.54829,127.046135,66,192,685,1452,2308,3084
35,뚝섬한강공원,37.529186,127.07152,58,163,525,1184,2223,3283
36,망원한강공원,37.55328,126.89927,26,67,431,967,1459,2454
37,명동 관광특구,37.564148,126.98185,13,31,198,525,1206,2089
38,미아사거리역,37.612194,127.03074,5,21,112,316,649,1457
39,반포한강공원,37.509827,126.994675,35,56,227,805,1471,2445
40,발산역,37.55915,126.83917,55,220,904,1399,1830,2212
41,방배역 먹자골목,37.482685,126.99605,24,74,310,561,1154,1590
42,보신각,37.570583,126.98341,2,11,148,408,868,2003
43,북서울꿈의숲,37.621853,127.041115,3,41,232,620,1200,1821
44,북창동 먹자골목,37.562263,126.9785,9,41,263,608,1255,1961
45,북촌한옥마을,37.582237,126.984,0,2,24,242,509,1319
46,북한산우이역,37.662663,127.01106,1,1,10,100,155,656
47,불광천,37.58731,126.91246,64,190,450,1297,1664,1997
48,사당역,37.477932,126.98126,72,129,295,519,760,1448
49,삼각지역,37.53534,126.973885,27,126,681,987,1487,2088
50,서리풀공원·몽마르뜨공원,37.491585,127.002686,5,84,317,811,1245,2084
51,서울 암사동 유적,37.56063,127.13076,0,0,0,93,281,982
52,서울광장,37.56566,126.97802,5,32,210,481,1208,1882
53,서울대공원,37.42901,127.01716,0,0,0,0,15,179
54,서울대입구역,37.480614,126.953064,88,94,259,551,1009,1257
55,서울숲공원,37.542965,127.03765,15,117,535,1387,2184,3191
56,서울식물원·마곡나루역,37.567596,126.83106,130,207,679,1250,1553,1867
57,서울역,37.556595,126.97303,19,76,292,832,1317,1774
58,서촌,37.580368,126.969574,0,2,55,300,669,1393
59,선릉역,37.506054,127.049805,26,84,390,987,1631,2563
60,성수카페거리,37.542965,127.056595,42,224,598,1486,2366,3051
61,성신여대입구역,37.592392,127.01687,1,14,60,326,840,1355
62,수유리 먹자골목,37.642876,127.02654,50,75,181,454,879,1370
63,수유역,37.64106,127.02572,63,79,188,371,833,1348
64,신논현역·논현역,37.50808,127.02341,28,142,392,957,1476,2361
65,신도림역,37.509098,126.890205,24,80,341,778,1310,1929
66,신림역,37.484676,126.92934,4,18,268,589,1072,1424
67,신촌·이대역,37.557037,126.93897,30,78,304,776,1346,2132
68,쌍문동 맛집거리,37.647762,127.03309,0,5,146,581,1175,1450
69,아차산,37.56684,127.10281,0,3,242,666,1222,1963
70,압구정로데오거리,37.525494,127.038734,57,120,409,959,1797,3142
71,양재역,37.48534,127.03397,143,182,516,814,1321,1827
72,양화한강공원,37.541306,126.898186,10,15,218,728,1470,2494
73,어린이대공원,37.54906,127.08136,40,200,773,1294,1768,3097
74,여의도,37.52502,126.92553,0,0,103,583,1335,2040
75,여의도한강공원,37.528988,126.92822,0,0,93,651,1276,2146
76,역삼역,37.500393,127.038185,11,71,490,1044,1443,2105
77,연남동,37.56162,126.92234,22,75,513,855,1486,2261
78,연신내역,37.61866,126.92072,102,216,494,736,947,1181
79,영등포 타임스퀘어,37.516865,126.90615,13,38,209,605,1243,2009
80,오목교역·목동운동장,37.528812,126.87664,4,35,408,852,1678,2663
81,왕십리역,37.562218,127.0389,198,360,801,1244,1890,2737
82,외대앞,37.594894,127.06202,12,42,251,659,1670,2524
83,용리단길,37.531185,126.97129,36,132,593,1017,1433,2070
84,용산역,37.530254,126.96082,13,152,453,1036,1495,2016
85,월드컵공원,37.570187,126.8842,21,242,531,1034,1722,2633
86,응봉산,37.548214,127.030464,21,93,634,1143,2114,2972
87,이촌한강공원,37.5194,126.96665,16,70,312,963,1589,2216
88,이태원 관광특구,37.53444,126.99437,94,268,410,878,1541,2500
89,이태원 앤틱가구거리,37.53223,126.99392,94,255,397,857,1564,2406
90,이태원역,37.534187,126.99305,165,269,411,903,1564,2348
91,익선동,37.572662,126.98963,2,7,160,349,866,2015
92,인사동,37.573864,126.98606,2,7,150,333,726,1950
93,잠실 관광특구,37.51648,127.11527,78,379,628,1004,1588,2102
94,잠실종합운동장,37.514523,127.07365,10,67,287,1351,2082,3089
95,잠실한강공원,37.519234,127.0843,8,60,564,1320,2219,2826
96,잠원한강공원,37.52381,127.014725,14,62,289,944,1532,2879
97,장지역,37.478752,127.123276,41,88,237,467,790,1355
98,장한평역,37.561806,127.06479,25,87,544,1610,2317,2760
99,종로·청계 관광특구,37.57,126.99737,0,113,207,424,1312,1911
100,창덕궁·종묘,37.578697,126.993355,0,2,156,252,712,1667
101,창동 신경제 중심지,37.656147,127.0547,100,165,541,946,1268,1493
102,천호역,37.539238,127.125015,8,31,138,407,994,1639
103,청계산,37.44074,127.05002,0,3,13,113,277,499
104,청담동 명품거리,37.525833,127.04376,36,176,430,1033,1860,3175
105,청량리 제기동 일대 전통시장,37.58083,127.03998,16,137,429,883,1414,2301
106,청와대,37.585453,126.97634,0,2,22,180,542,1036
107,총신대입구(이수)역,37.486004,126.98104,39,141,330,596,953,1649
108,충정로역,37.559696,126.96369,17,55,342,649,1297,1835
109,합정역,37.549377,126.911736,21,77,351,740,1415,2236
110,해방촌·경리단길,37.54237,126.98718,57,116,528,1011,1452,2242
111,혜화역,37.58248,127.00176,0,4,67,278,890,1495
112,홍대 관광특구,37.553917,126.92127,38,99,371,709,1514,2232
113,홍대입구역(2호선),37.556763,126.923004,34,102,367,821,1439,2233
114,회기역,37.59054,127.05616,19,34,216,686,1701,2626
